"TIME","Output Inverter Stage","Waveform"
0,-1.2475,1.25
0.0005333333333,-1.28935,1.29188
0.001066666667,-1.33121,1.3336
0.002133333333,-1.41454,1.41705
0.004266666667,-1.57859,1.5811
0.0076,-1.82196,1.82447
0.01093333333,-2.04023,2.04274
0.01426666667,-2.22384,2.22636
0.0176,-2.36479,2.3673
0.02093333333,-2.4569,2.45942
0.02426666667,-2.49616,2.49867
0.0276,-2.48084,2.48336
0.03093333333,-2.41163,2.41414
0.03426666667,-2.29153,2.29404
0.0376,-2.12581,2.12831
0.04093333333,-1.9217,1.9242
0.04426666667,-1.68812,1.69062
0.0476,-1.43528,1.43778
0.05093333333,-1.17424,1.17674
0.05426666667,-0.916404,0.918896
0.0576,-0.673035,0.675525
0.06093333333,-0.454773,0.457261
0.06426666667,-0.271156,0.273644
0.0676,-0.130211,0.132698
0.07093333333,-0.0380966,0.0405838
0.07426666667,0.00116121,0.00132668
0.0776,-0.0141535,0.0166426
0.08093333333,-0.0833713,0.0858621
0.08426666667,-0.203467,0.20596
0.0876,-0.369192,0.371688
0.09093333333,-0.573303,0.575802
0.09426666667,-0.80688,0.809381
0.0976,-1.05971,1.06222
0.1009333333,-1.32076,1.32326
0.1042666667,-1.57859,1.5811
0.1076,-1.82196,1.82447
0.1109333333,-2.04023,2.04274
0.1142666667,-2.22384,2.22636
0.1176,-2.36479,2.3673
0.1209333333,-2.4569,2.45942
0.1242666667,-2.49616,2.49867
0.1276,-2.48084,2.48336
0.1309333333,-2.41163,2.41414
0.1342666667,-2.29153,2.29404
0.1376,-2.12581,2.12831
0.1409333333,-1.9217,1.9242
0.1442666667,-1.68812,1.69062
0.1476,-1.43528,1.43778
0.1509333333,-1.17424,1.17674
0.1542666667,-0.916404,0.918896
0.1576,-0.673035,0.675525
0.1609333333,-0.454773,0.457261
0.1642666667,-0.271156,0.273644
0.1676,-0.130211,0.132698
0.1709333333,-0.0380966,0.0405838
0.1742666667,0.00116121,0.00132668
0.1776,-0.0141535,0.0166426
0.1809333333,-0.0833713,0.0858621
0.1842666667,-0.203467,0.20596
0.1876,-0.369192,0.371688
0.1909333333,-0.573303,0.575802
0.1942666667,-0.80688,0.809381
0.1976,-1.05971,1.06222
0.2009333333,-1.32076,1.32326
0.2042666667,-1.57859,1.5811
0.2076,-1.82196,1.82447
0.2109333333,-2.04023,2.04274
0.2142666667,-2.22384,2.22636
0.2176,-2.36479,2.3673
0.2209333333,-2.4569,2.45942
0.2242666667,-2.49616,2.49867
0.2276,-2.48084,2.48336
0.2309333333,-2.41163,2.41414
0.2342666667,-2.29153,2.29404
0.2376,-2.12581,2.12831
0.2409333333,-1.9217,1.9242
0.2442666667,-1.68812,1.69062
0.2476,-1.43528,1.43778
0.2509333333,-1.17424,1.17674
0.2542666667,-0.916404,0.918896
0.2576,-0.673035,0.675525
0.2609333333,-0.454773,0.457261
0.2642666667,-0.271156,0.273644
0.2676,-0.130211,0.132698
0.2709333333,-0.0380966,0.0405838
0.2742666667,0.00116121,0.00132668
0.2776,-0.0141535,0.0166426
0.2809333333,-0.0833713,0.0858621
0.2842666667,-0.203467,0.20596
0.2876,-0.369192,0.371688
0.2909333333,-0.573303,0.575802
0.2942666667,-0.80688,0.809381
0.2976,-1.05971,1.06222
0.3009333333,-1.32076,1.32326
0.3042666667,-1.57859,1.5811
0.3076,-1.82196,1.82447
0.3109333333,-2.04023,2.04274
0.3142666667,-2.22384,2.22636
0.3176,-2.36479,2.3673
0.3209333333,-2.4569,2.45942
0.3242666667,-2.49616,2.49867
0.3276,-2.48084,2.48336
0.3309333333,-2.41163,2.41414
0.3342666667,-2.29153,2.29404
0.3376,-2.12581,2.12831
0.3409333333,-1.9217,1.9242
0.3442666667,-1.68812,1.69062
0.3476,-1.43528,1.43778
0.3509333333,-1.17424,1.17674
0.3542666667,-0.916404,0.918896
0.3576,-0.673035,0.675525
0.3609333333,-0.454773,0.457261
0.3642666667,-0.271156,0.273644
0.3676,-0.130211,0.132698
0.3709333333,-0.0380966,0.0405838
0.3742666667,0.00116121,0.00132668
0.3776,-0.0141535,0.0166426
0.3809333333,-0.0833713,0.0858621
0.3842666667,-0.203467,0.20596
0.3876,-0.369192,0.371688
0.3909333333,-0.573303,0.575802
0.3942666667,-0.80688,0.809381
0.3976,-1.05971,1.06222
0.4009333333,-1.32076,1.32326
0.4042666667,-1.57859,1.5811
0.4076,-1.82196,1.82447
0.4109333333,-2.04023,2.04274
0.4142666667,-2.22384,2.22636
0.4176,-2.36479,2.3673
0.4209333333,-2.4569,2.45942
0.4242666667,-2.49616,2.49867
0.4276,-2.48084,2.48336
0.4309333333,-2.41163,2.41414
0.4342666667,-2.29153,2.29404
0.4376,-2.12581,2.12831
0.4409333333,-1.9217,1.9242
0.4442666667,-1.68812,1.69062
0.4476,-1.43528,1.43778
0.4509333333,-1.17424,1.17674
0.4542666667,-0.916404,0.918896
0.4576,-0.673035,0.675525
0.4609333333,-0.454773,0.457261
0.4642666667,-0.271156,0.273644
0.4676,-0.130211,0.132698
0.4709333333,-0.0380966,0.0405838
0.4742666667,0.00116121,0.00132668
0.4776,-0.0141535,0.0166426
0.4809333333,-0.0833713,0.0858621
0.4842666667,-0.203467,0.20596
0.4876,-0.369192,0.371688
0.4909333333,-0.573303,0.575802
0.4942666667,-0.80688,0.809381
0.4976,-1.05971,1.06222
0.5009333333,-1.32076,1.32326
0.5042666667,-1.57859,1.5811
0.5076,-1.82196,1.82447
0.5109333333,-2.04023,2.04274
0.5142666667,-2.22384,2.22636
0.5176,-2.36479,2.3673
0.5209333333,-2.4569,2.45942
0.5242666667,-2.49616,2.49867
0.5276,-2.48084,2.48336
0.5309333333,-2.41163,2.41414
0.5342666667,-2.29153,2.29404
0.5376,-2.12581,2.12831
0.5409333333,-1.9217,1.9242
0.5442666667,-1.68812,1.69062
0.5476,-1.43528,1.43778
0.5509333333,-1.17424,1.17674
0.5542666667,-0.916404,0.918896
0.5576,-0.673035,0.675525
0.5609333333,-0.454773,0.457261
0.5642666667,-0.271156,0.273644
0.5676,-0.130211,0.132698
0.5709333333,-0.0380966,0.0405838
0.5742666667,0.00116121,0.00132668
0.5776,-0.0141535,0.0166426
0.5809333333,-0.0833713,0.0858621
0.5842666667,-0.203467,0.20596
0.5876,-0.369192,0.371688
0.5909333333,-0.573303,0.575802
0.5942666667,-0.80688,0.809381
0.5976,-1.05971,1.06222
0.6009333333,-1.32076,1.32326
0.6042666667,-1.57859,1.5811
0.6076,-1.82196,1.82447
0.6109333333,-2.04023,2.04274
0.6142666667,-2.22384,2.22636
0.6176,-2.36479,2.3673
0.6209333333,-2.4569,2.45942
0.6242666667,-2.49616,2.49867
0.6276,-2.48084,2.48336
0.6309333333,-2.41163,2.41414
0.6342666667,-2.29153,2.29404
0.6376,-2.12581,2.12831
0.6409333333,-1.9217,1.9242
0.6442666667,-1.68812,1.69062
0.6476,-1.43528,1.43778
0.6509333333,-1.17424,1.17674
0.6542666667,-0.916404,0.918896
0.6576,-0.673035,0.675525
0.6609333333,-0.454773,0.457261
0.6642666667,-0.271156,0.273644
0.6676,-0.130211,0.132698
0.6709333333,-0.0380966,0.0405838
0.6742666667,0.00116121,0.00132668
0.6776,-0.0141535,0.0166426
0.6809333333,-0.0833713,0.0858621
0.6842666667,-0.203467,0.20596
0.6876,-0.369192,0.371688
0.6909333333,-0.573303,0.575802
0.6942666667,-0.80688,0.809381
0.6976,-1.05971,1.06222
0.7009333333,-1.32076,1.32326
0.7042666667,-1.57859,1.5811
0.7076,-1.82196,1.82447
0.7109333333,-2.04023,2.04274
0.7142666667,-2.22384,2.22636
0.7176,-2.36479,2.3673
0.7209333333,-2.4569,2.45942
0.7242666667,-2.49616,2.49867
0.7276,-2.48084,2.48336
0.7309333333,-2.41163,2.41414
0.7342666667,-2.29153,2.29404
0.7376,-2.12581,2.12831
0.7409333333,-1.9217,1.9242
0.7442666667,-1.68812,1.69062
0.7476,-1.43528,1.43778
0.7509333333,-1.17424,1.17674
0.7542666667,-0.916404,0.918896
0.7576,-0.673035,0.675525
0.7609333333,-0.454773,0.457261
0.7642666667,-0.271156,0.273644
0.7676,-0.130211,0.132698
0.7709333333,-0.0380966,0.0405838
0.7742666667,0.00116121,0.00132668
0.7776,-0.0141535,0.0166426
0.7809333333,-0.0833713,0.0858621
0.7842666667,-0.203467,0.20596
0.7876,-0.369192,0.371688
0.7909333333,-0.573303,0.575802
0.7942666667,-0.80688,0.809381
0.7976,-1.05971,1.06222
0.8009333333,-1.32076,1.32326
0.8042666667,-1.57859,1.5811
0.8076,-1.82196,1.82447
0.8109333333,-2.04023,2.04274
0.8142666667,-2.22384,2.22636
0.8176,-2.36479,2.3673
0.8209333333,-2.4569,2.45942
0.8242666667,-2.49616,2.49867
0.8276,-2.48084,2.48336
0.8309333333,-2.41163,2.41414
0.8342666667,-2.29153,2.29404
0.8376,-2.12581,2.12831
0.8409333333,-1.9217,1.9242
0.8442666667,-1.68812,1.69062
0.8476,-1.43528,1.43778
0.8509333333,-1.17424,1.17674
0.8542666667,-0.916404,0.918896
0.8576,-0.673035,0.675525
0.8609333333,-0.454773,0.457261
0.8642666667,-0.271156,0.273644
0.8676,-0.130211,0.132698
0.8709333333,-0.0380966,0.0405838
